timestamp,tp9,af7,af8,tp10,hr
1729906382.019,124.023,226.074,33.691,-1000.000,0.000
1729906382.023,-1000.000,-1000.000,-613.770,-234.375,0.000
1729906382.027,-596.191,-932.129,-635.254,-818.359,0.000
1729906382.031,-978.516,620.605,5.371,239.258,0.000
1729906382.035,268.555,490.234,206.543,-1000.000,0.000
1729906382.039,-1000.000,-1000.000,-423.828,-375.000,0.000
1729906382.043,-1000.000,-1000.000,-621.094,-851.562,0.000
1729906382.046,440.918,73.730,-148.926,493.164,0.000
1729906382.050,695.312,956.543,302.734,-1000.000,0.000
1729906382.054,-888.672,-476.074,-258.301,-785.156,0.000
1729906382.058,-1000.000,-1000.000,-669.434,781.738,0.000
1729906382.062,-121.094,-194.824,-363.770,-978.516,0.000
1729906382.066,-885.742,-857.910,289.551,-471.191,0.000
1729906382.070,-152.832,98.145,-91.309,-1000.000,0.000
1729906382.074,-1000.000,-1000.000,-665.527,175.293,0.000
1729906382.078,-263.672,-539.551,-547.363,-792.480,0.000
1729906382.082,-853.027,-964.844,75.684,84.961,0.000
1729906382.085,200.684,234.375,-28.809,-1000.000,0.000
1729906382.089,-1000.000,-1000.000,-580.566,-249.512,0.000
1729906382.093,-927.246,-1000.000,-583.008,-815.430,0.000
1729906382.097,659.180,296.387,-96.191,241.699,0.000
1729906382.101,295.410,427.246,129.395,-1000.000,0.000
1729906382.105,-1000.000,-999.023,-413.574,-514.648,0.000
1729906382.109,-1000.000,-1000.000,-570.312,-914.062,0.000
1729906382.113,-33.691,-93.262,-371.582,528.809,0.000
1729906382.117,428.223,655.762,-77.148,-1000.000,0.000
1729906382.121,-950.195,-737.305,-367.676,-981.445,0.000
1729906382.125,-1000.000,-1000.000,-554.199,487.793,0.000
1729906382.128,-155.762,-453.613,-477.051,-887.207,0.000
1729906382.132,929.688,923.340,-46.875,-326.660,0.000
1729906382.136,-421.875,-84.473,-191.406,-1000.000,0.000
1729906382.140,-1000.000,-1000.000,-548.828,-7.324,0.000
1729906382.144,-508.301,-835.449,-579.590,-779.297,0.000
1729906382.148,-978.516,687.012,-65.918,206.543,0.000
1729906382.152,293.457,352.539,80.078,-1000.000,0.000
1729906382.156,-1000.000,-1000.000,-459.961,-275.391,0.000
1729906382.160,-744.629,-1000.000,-582.031,-799.316,0.000
1729906382.164,893.066,370.117,-73.242,448.242,0.000
1729906382.168,570.312,877.930,313.965,-1000.000,0.000
1729906382.171,-1000.000,-675.781,-320.801,-277.344,0.000
1729906382.175,-981.934,-1000.000,-677.246,-935.547,0.000
1729906382.179,437.500,67.871,-156.738,-954.102,0.000
1729906382.183,-819.824,-795.410,457.520,-448.242,0.000
